field 	 ground_energy 	 magnetization_z 
1.0	 -2.0642925001726105 	 0.921273655429824 
1.131578947368421	 -2.0928510739311688 	 0.9026456067148783 
1.263157894736842	 -2.1272819428887995 	 -0.8829274349791202 
1.394736842105263	 -2.1678374834489293 	 0.8620500617838613 
1.5263157894736843	 -2.2083001004243057 	 -0.8399786370869203 
1.6578947368421053	 -2.2621122356175265 	 -0.8166348928472248 
1.7894736842105263	 -2.3334589315588126 	 -0.7824252318779085 
1.9210526315789473	 -2.3971565741920107 	 0.754158223512489 
2.0526315789473686	 -2.4673118577395936 	 0.7246974370379505 
2.1842105263157894	 -2.3914458369297744 	 -0.03511622089476765 
2.3157894736842106	 -2.5063466239447787 	 2.0369081508806737e-12 
2.4473684210526314	 -2.6240887342419543 	 -1.4512801044921133e-13 
2.5789473684210527	 -2.7439472275032584 	 6.099508423816363e-14 
2.710526315789474	 -2.865435633565832 	 3.1735142716729953e-14 
2.8421052631578947	 -2.98826264616671 	 2.294251450714551e-14 
2.973684210526316	 -3.1120792350690993 	 2.4909690986654925e-14 
3.1052631578947367	 -3.2367572875552844 	 -2.000582066642755e-15 
3.236842105263158	 -3.362154618389549 	 -5.380614023918529e-15 
3.3684210526315788	 -3.488160468572061 	 3.1077246806095267e-15 
3.5	 -3.6146845077303196 	 4.295380307693218e-15 
